Linux 6.8.0-49-generic (samoy-pc) 	12/09/2024 	_x86_64_	(12 CPU)

12:37:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:48 PM  all   18.35    0.34    4.08   11.72    0.00    0.42    0.00    0.00    0.00   65.08
12:37:49 PM  all   11.92    0.00    3.63    9.64    0.00    0.51    0.00    0.00    0.00   74.30
12:37:50 PM  all   15.38    0.00    4.84   10.20    0.00    0.34    0.00    0.00    0.00   69.24
12:37:51 PM  all   12.56    0.00    4.07    9.17    0.00    0.25    0.00    0.00    0.00   73.94
12:37:52 PM  all   13.24    0.00    5.12   10.16    0.00    0.43    0.00    0.00    0.00   71.05
12:37:53 PM  all   11.53    0.00    2.73   10.93    0.00    0.34    0.00    0.00    0.00   74.47
12:37:54 PM  all   15.80    0.00    4.59    9.18    0.00    0.25    0.00    0.00    0.00   70.18
12:37:55 PM  all   14.69    0.00    3.65    9.68    0.00    0.17    0.00    0.00    0.00   71.82
12:37:56 PM  all   15.33    0.00    4.62    9.76    0.00    0.26    0.00    0.00    0.00   70.03
12:37:57 PM  all    8.93    0.00    2.66    9.18    0.00    0.34    0.00    0.00    0.00   78.88
12:37:58 PM  all   12.06    0.00    4.25    7.90    0.00    0.51    0.00    0.00    0.00   75.28
12:37:59 PM  all    8.18    0.00    2.05    9.55    0.00    0.26    0.00    0.00    0.00   79.97
12:38:00 PM  all    9.29    0.00    3.04    9.63    0.00    0.34    0.00    0.00    0.00   77.70
12:38:01 PM  all    9.87    0.00    2.98   10.38    0.00    0.26    0.00    0.00    0.00   76.51
12:38:02 PM  all   12.01    0.00    3.34    8.92    0.00    0.17    0.00    0.00    0.00   75.56
12:38:03 PM  all   11.24    0.00    5.24    8.96    0.00    0.51    0.00    0.00    0.00   74.05
12:38:04 PM  all   11.58    0.00    3.97    9.30    0.00    0.25    0.00    0.00    0.00   74.89
12:38:05 PM  all   14.60    0.00    3.48    9.85    0.00    0.17    0.00    0.00    0.00   71.90
12:38:06 PM  all   10.85    0.00    3.93    8.63    0.00    0.34    0.00    0.00    0.00   76.24
12:38:07 PM  all   24.48    0.00   11.03    7.59    0.00    0.17    0.00    0.00    0.00   56.72
12:38:08 PM  all   15.49    0.00    4.77    9.36    0.00    0.51    0.00    0.00    0.00   69.87
12:38:09 PM  all   18.38    0.00    9.49    8.46    0.00    0.17    0.00    0.00    0.00   63.50
12:38:10 PM  all   16.71    0.00    4.47    8.61    0.00    0.42    0.00    0.00    0.00   69.79
12:38:11 PM  all   19.42    0.00    4.79    9.15    0.00    0.17    0.00    0.00    0.00   66.47
12:38:12 PM  all   27.19    0.00    5.78    9.52    0.00    0.51    0.00    0.00    0.00   57.01
12:38:13 PM  all   14.67    0.00    3.48   10.69    0.00    0.17    0.00    0.00    0.00   70.99
12:38:14 PM  all    9.40    0.00    3.05   13.04    0.00    0.42    0.00    0.00    0.00   74.09
12:38:15 PM  all   14.10    0.00    5.01   10.96    0.00    0.42    0.00    0.00    0.00   69.50
12:38:16 PM  all   17.82    0.00    6.77   10.03    0.00    0.34    0.00    0.00    0.00   65.04
12:38:17 PM  all   31.10    0.00    8.59    8.08    0.00    0.26    0.00    0.00    0.00   51.98
12:38:18 PM  all   25.73    0.00    7.78    9.06    0.00    0.34    0.00    0.00    0.00   57.09
12:38:19 PM  all   30.71    0.00    8.04    8.81    0.00    0.34    0.00    0.00    0.00   52.10
12:38:20 PM  all   33.53    0.00    8.45    9.39    0.00    0.26    0.00    0.00    0.00   48.38
12:38:21 PM  all   29.13    0.00    6.01    8.89    0.00    0.25    0.00    0.00    0.00   55.72
12:38:22 PM  all   14.97    0.00    2.99   10.18    0.00    0.09    0.00    0.00    0.00   71.77
12:38:23 PM  all   10.63    0.00    2.57   10.72    0.00    0.34    0.00    0.00    0.00   75.73
12:38:24 PM  all   15.50    0.00    3.73   10.67    0.00    0.68    0.00    0.00    0.00   69.43
12:38:25 PM  all    9.59    0.00    3.14   10.10    0.00    0.25    0.00    0.00    0.00   76.91
12:38:26 PM  all   12.10    0.00    3.49   11.67    0.00    0.34    0.00    0.00    0.00   72.40
12:38:27 PM  all   13.04    0.00    3.24   11.51    0.00    0.26    0.00    0.00    0.00   71.95
12:38:28 PM  all   10.85    0.00    3.39   10.68    0.00    0.25    0.00    0.00    0.00   74.83
12:38:29 PM  all   10.54    0.00    2.98   10.80    0.00    0.43    0.00    0.00    0.00   75.26
12:38:30 PM  all    9.51    0.00    3.14   10.36    0.00    0.17    0.00    0.00    0.00   76.83
12:38:31 PM  all   17.93    0.00    4.61   10.59    0.00    0.17    0.00    0.00    0.00   66.70
12:38:32 PM  all   16.72    0.00    3.82   10.36    0.00    0.25    0.00    0.00    0.00   68.85
