Linux 6.8.0-49-generic (samoy-pc) 	12/10/2024 	_x86_64_	(12 CPU)

09:13:44 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:13:45 AM  all   11.24    0.34    3.75   11.50    0.00    0.00    0.00    0.00    0.00   73.17
09:13:46 AM  all    8.66    0.00    2.83   12.69    0.00    0.00    0.00    0.00    0.00   75.81
09:13:47 AM  all    9.50    0.09    3.17   12.66    0.00    0.00    0.00    0.00    0.00   74.59
09:13:48 AM  all    9.59    0.09    2.74   12.59    0.00    0.09    0.00    0.00    0.00   74.91
09:13:49 AM  all    9.15    0.00    2.82   12.92    0.00    0.09    0.00    0.00    0.00   75.02
09:13:50 AM  all   11.10    0.00    2.73   12.89    0.00    0.00    0.00    0.00    0.00   73.27
09:13:51 AM  all    9.56    0.00    2.99   12.47    0.00    0.00    0.00    0.00    0.00   74.98
09:13:52 AM  all    9.04    0.00    2.73   12.71    0.00    0.09    0.00    0.00    0.00   75.43
09:13:53 AM  all    9.41    0.00    2.91   12.66    0.00    0.09    0.00    0.00    0.00   74.94
09:13:54 AM  all    8.80    0.09    2.99   12.55    0.00    0.00    0.00    0.00    0.00   75.58
09:13:55 AM  all    9.41    0.00    2.82   12.49    0.00    0.00    0.00    0.00    0.00   75.28
09:13:56 AM  all    9.15    0.00    2.57   12.40    0.00    0.00    0.00    0.00    0.00   75.88
09:13:57 AM  all    9.08    0.09    2.40   12.77    0.00    0.09    0.00    0.00    0.00   75.58
09:13:58 AM  all    9.42    0.08    2.80   12.65    0.00    0.00    0.00    0.00    0.00   75.04
09:13:59 AM  all    9.40    0.00    2.74   12.74    0.00    0.00    0.00    0.00    0.00   75.13
09:14:00 AM  all    9.48    0.00    2.73   12.72    0.00    0.00    0.00    0.00    0.00   75.06
09:14:01 AM  all    9.25    0.00    2.74   12.50    0.00    0.00    0.00    0.00    0.00   75.51
09:14:02 AM  all    9.39    0.09    2.47   12.29    0.00    0.00    0.00    0.00    0.00   75.77
09:14:03 AM  all   10.24    0.00    2.82   12.54    0.00    0.00    0.00    0.00    0.00   74.40
09:14:04 AM  all    9.42    0.00    2.74   12.59    0.00    0.17    0.00    0.00    0.00   75.09
09:14:05 AM  all    9.93    0.00    2.74   12.50    0.00    0.00    0.00    0.00    0.00   74.83
09:14:06 AM  all    9.81    0.00    2.65   12.37    0.00    0.00    0.00    0.00    0.00   75.17
09:14:07 AM  all    9.51    0.00    2.49   12.85    0.00    0.09    0.00    0.00    0.00   75.06
09:14:08 AM  all    9.60    0.08    3.06   12.40    0.00    0.08    0.00    0.00    0.00   74.77
09:14:09 AM  all    9.74    0.00    2.48   12.39    0.00    0.17    0.00    0.00    0.00   75.21
09:14:10 AM  all    9.94    0.09    2.66   12.60    0.00    0.00    0.00    0.00    0.00   74.72
09:14:11 AM  all    9.47    0.09    2.22   12.54    0.00    0.00    0.00    0.00    0.00   75.68
09:14:12 AM  all    9.70    0.00    2.83   12.27    0.00    0.00    0.00    0.00    0.00   75.19
09:14:13 AM  all    9.15    0.00    2.82   12.57    0.00    0.00    0.00    0.00    0.00   75.45
09:14:14 AM  all    9.11    0.00    2.58   12.11    0.00    0.00    0.00    0.00    0.00   76.20
09:14:15 AM  all    8.95    0.17    2.64   12.79    0.00    0.00    0.00    0.00    0.00   75.45
09:14:16 AM  all    9.74    0.09    2.65   12.65    0.00    0.00    0.00    0.00    0.00   74.87
09:14:17 AM  all    9.44    0.00    2.64   12.67    0.00    0.00    0.00    0.00    0.00   75.26
09:14:18 AM  all    9.18    0.00    2.49   12.69    0.00    0.00    0.00    0.00    0.00   75.64
09:14:19 AM  all    9.98    0.00    2.56   12.37    0.00    0.17    0.00    0.00    0.00   74.91
09:14:20 AM  all    9.49    0.00    2.74   12.65    0.00    0.00    0.00    0.00    0.00   75.13
09:14:21 AM  all    8.77    0.09    2.98   12.61    0.00    0.00    0.00    0.00    0.00   75.55
09:14:22 AM  all    9.08    0.00    2.66   12.60    0.00    0.00    0.00    0.00    0.00   75.66
09:14:23 AM  all    9.75    0.00    2.40   12.23    0.00    0.00    0.00    0.00    0.00   75.62
09:14:24 AM  all    9.32    0.00    2.74   12.65    0.00    0.00    0.00    0.00    0.00   75.30
09:14:25 AM  all    9.63    0.00    2.81   12.28    0.00    0.09    0.00    0.00    0.00   75.19
09:14:26 AM  all    9.05    0.09    2.39   12.89    0.00    0.00    0.00    0.00    0.00   75.58
09:14:27 AM  all    9.56    0.09    2.90   12.80    0.00    0.09    0.00    0.00    0.00   74.57
09:14:28 AM  all   10.10    0.09    2.40   12.59    0.00    0.09    0.00    0.00    0.00   74.74
09:14:29 AM  all   10.43    0.00    2.74   12.31    0.00    0.17    0.00    0.00    0.00   74.36
09:14:30 AM  all   10.63    0.00    2.57   12.86    0.00    0.00    0.00    0.00    0.00   73.93
09:14:31 AM  all   10.37    0.00    2.98   12.24    0.00    0.00    0.00    0.00    0.00   74.40
09:14:32 AM  all   10.51    0.09    2.58   11.97    0.00    0.00    0.00    0.00    0.00   74.85
09:14:33 AM  all   10.02    0.00    3.34   12.50    0.00    0.00    0.00    0.00    0.00   74.14
09:14:34 AM  all   10.13    0.09    2.89   12.26    0.00    0.00    0.00    0.00    0.00   74.64
09:14:35 AM  all   14.11    0.00    3.59   11.72    0.00    0.34    0.00    0.00    0.00   70.23
09:14:36 AM  all   12.76    0.00    4.00   11.56    0.00    0.00    0.00    0.00    0.00   71.68
09:14:37 AM  all   12.83    0.17    3.74   11.47    0.00    0.08    0.00    0.00    0.00   71.71
09:14:38 AM  all   11.75    0.00    3.58   12.10    0.00    0.00    0.00    0.00    0.00   72.57
09:14:39 AM  all   12.61    0.00    3.64   11.93    0.00    0.00    0.00    0.00    0.00   71.83
09:14:40 AM  all   16.78    0.00    4.68   11.07    0.00    0.00    0.00    0.00    0.00   67.46
09:14:41 AM  all   16.48    0.09    4.55   11.42    0.00    0.09    0.00    0.00    0.00   67.38
09:14:42 AM  all   14.54    0.00    4.17   11.73    0.00    0.00    0.00    0.00    0.00   69.56
09:14:43 AM  all   16.35    0.00    3.83   11.33    0.00    0.00    0.00    0.00    0.00   68.48
09:14:44 AM  all   12.04    0.00    3.76   12.04    0.00    0.00    0.00    0.00    0.00   72.16
09:14:45 AM  all   12.91    0.08    3.99   11.47    0.00    0.00    0.00    0.00    0.00   71.54
09:14:46 AM  all   11.00    0.09    2.92   12.20    0.00    0.00    0.00    0.00    0.00   73.80
09:14:47 AM  all   10.19    0.00    3.00   12.50    0.00    0.09    0.00    0.00    0.00   74.23
09:14:48 AM  all   10.79    0.00    2.83   12.16    0.00    0.00    0.00    0.00    0.00   74.23
09:14:49 AM  all   12.30    0.00    3.44   12.38    0.00    0.00    0.00    0.00    0.00   71.88
09:14:50 AM  all   15.02    0.09    3.75   11.43    0.00    0.00    0.00    0.00    0.00   69.71
09:14:51 AM  all   11.48    0.09    2.93   12.17    0.00    0.00    0.00    0.00    0.00   73.34
09:14:52 AM  all   11.97    0.09    2.93   12.06    0.00    0.00    0.00    0.00    0.00   72.95
09:14:53 AM  all   11.59    0.00    3.11   12.37    0.00    0.00    0.00    0.00    0.00   72.92
09:14:54 AM  all   11.29    0.00    3.08   12.23    0.00    0.09    0.00    0.00    0.00   73.31
09:14:55 AM  all    9.86    0.00    2.60   12.46    0.00    0.00    0.00    0.00    0.00   75.09
09:14:56 AM  all   16.71    0.00    3.08   11.74    0.00    0.00    0.00    0.00    0.00   68.47
09:14:57 AM  all   17.91    0.09    3.89   11.59    0.00    0.00    0.00    0.00    0.00   66.52
09:14:58 AM  all   13.76    0.00    3.53   11.87    0.00    0.09    0.00    0.00    0.00   70.77
09:14:59 AM  all   13.09    0.09    3.08   11.89    0.00    0.09    0.00    0.00    0.00   71.77
09:15:00 AM  all   16.97    0.09    3.01   11.97    0.00    0.00    0.00    0.00    0.00   67.96
09:15:01 AM  all   12.80    0.00    3.03   12.20    0.00    0.00    0.00    0.00    0.00   71.97
09:15:02 AM  all   12.80    0.26    3.46   11.85    0.00    0.00    0.00    0.00    0.00   71.63
09:15:03 AM  all   24.48    0.00    6.19   11.08    0.00    0.17    0.00    0.00    0.00   58.08
09:15:04 AM  all   20.55    0.00    6.91   11.34    0.00    0.26    0.00    0.00    0.00   60.95
09:15:05 AM  all   24.00    0.09    9.65   11.36    0.00    0.17    0.00    0.00    0.00   54.74
09:15:06 AM  all   16.28    0.00    5.23   11.91    0.00    0.00    0.00    0.00    0.00   66.58
09:15:07 AM  all   11.85    0.00    3.56   12.11    0.00    0.08    0.00    0.00    0.00   72.40
09:15:08 AM  all   11.86    0.00    3.64   11.95    0.00    0.00    0.00    0.00    0.00   72.54
09:15:09 AM  all   11.85    0.00    3.45   12.02    0.00    0.00    0.00    0.00    0.00   72.69
09:15:10 AM  all   10.71    0.00    3.15   12.41    0.00    0.00    0.00    0.00    0.00   73.72
09:15:11 AM  all   14.44    0.00    3.23   11.98    0.00    0.08    0.00    0.00    0.00   70.26
09:15:12 AM  all   11.67    0.00    3.32   12.01    0.00    0.00    0.00    0.00    0.00   73.00
