Linux 6.8.0-49-generic (samoy-pc) 	12/10/2024 	_x86_64_	(12 CPU)

08:48:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:49:13 AM  all   20.77    0.09    4.55   11.76    0.00    0.00    0.00    0.00    0.00   62.83
08:49:14 AM  all   19.60    0.00    4.75   12.69    0.00    0.09    0.00    0.00    0.00   62.87
08:49:15 AM  all   20.88    0.00    5.24   13.06    0.00    0.00    0.00    0.00    0.00   60.82
08:49:16 AM  all   17.83    0.09    5.34   13.35    0.00    0.00    0.00    0.00    0.00   63.39
08:49:17 AM  all   18.20    0.09    5.58   13.56    0.00    0.00    0.00    0.00    0.00   62.58
08:49:18 AM  all   19.35    0.09    6.36   12.98    0.00    0.09    0.00    0.00    0.00   61.13
08:49:19 AM  all   20.22    0.17    6.86   13.20    0.00    0.00    0.00    0.00    0.00   59.55
08:49:20 AM  all   15.06    0.00    4.82   11.10    0.00    0.00    0.00    0.00    0.00   69.02
08:49:21 AM  all   15.72    0.00    5.10   11.05    0.00    0.08    0.00    0.00    0.00   68.05
08:49:22 AM  all   12.62    0.00    3.54   11.41    0.00    0.00    0.00    0.00    0.00   72.43
08:49:23 AM  all   11.99    0.09    3.88   11.39    0.00    0.00    0.00    0.00    0.00   72.65
08:49:24 AM  all   13.10    0.00    3.97   11.47    0.00    0.00    0.00    0.00    0.00   71.47
08:49:25 AM  all   12.80    0.00    3.87   11.43    0.00    0.00    0.00    0.00    0.00   71.91
08:49:26 AM  all   12.82    0.00    4.13   11.36    0.00    0.09    0.00    0.00    0.00   71.60
08:49:27 AM  all   13.14    0.09    3.69   11.51    0.00    0.09    0.00    0.00    0.00   71.48
08:49:28 AM  all   14.27    0.09    4.96   11.37    0.00    0.00    0.00    0.00    0.00   69.32
08:49:29 AM  all   13.69    0.00    4.53   11.29    0.00    0.00    0.00    0.00    0.00   70.49
08:49:30 AM  all   14.46    0.09    5.34   10.67    0.00    0.00    0.00    0.00    0.00   69.45
08:49:31 AM  all   13.03    0.00    5.09   11.04    0.00    0.00    0.00    0.00    0.00   70.84
08:49:32 AM  all   16.39    0.00    5.49   10.99    0.00    0.00    0.00    0.00    0.00   67.12
08:49:33 AM  all   16.97    0.00    5.20   10.66    0.00    0.00    0.00    0.00    0.00   67.18
08:49:34 AM  all   16.54    0.00    5.71   10.65    0.00    0.17    0.00    0.00    0.00   66.93
08:49:35 AM  all   17.04    0.00    5.54   11.16    0.00    0.00    0.00    0.00    0.00   66.27
08:49:36 AM  all   16.97    0.00    5.02   11.00    0.00    0.00    0.00    0.00    0.00   67.01
08:49:37 AM  all   13.23    0.09    5.84   11.08    0.00    0.00    0.00    0.00    0.00   69.76
08:49:38 AM  all   12.75    0.00    4.31   11.54    0.00    0.00    0.00    0.00    0.00   71.40
08:49:39 AM  all   13.21    0.00    3.54   11.31    0.00    0.09    0.00    0.00    0.00   71.85
08:49:40 AM  all   16.03    0.00    5.52   10.69    0.00    0.00    0.00    0.00    0.00   67.76
08:49:41 AM  all   17.71    0.00    5.99   10.69    0.00    0.09    0.00    0.00    0.00   65.53
08:49:42 AM  all   16.67    0.09    4.92   10.71    0.00    0.00    0.00    0.00    0.00   67.62
08:49:43 AM  all   13.81    0.00    4.86   11.00    0.00    0.00    0.00    0.00    0.00   70.33
08:49:44 AM  all   17.04    0.00    6.28   10.50    0.00    0.17    0.00    0.00    0.00   66.01
08:49:45 AM  all   14.29    0.17    4.56   11.10    0.00    0.00    0.00    0.00    0.00   69.88
08:49:46 AM  all   11.89    0.00    4.31   11.28    0.00    0.09    0.00    0.00    0.00   72.44
08:49:47 AM  all   12.02    0.00    3.46   11.51    0.00    0.00    0.00    0.00    0.00   73.01
08:49:48 AM  all   13.88    0.09    4.57   10.95    0.00    0.00    0.00    0.00    0.00   70.52
08:49:49 AM  all   13.16    0.00    4.30   11.26    0.00    0.00    0.00    0.00    0.00   71.28
08:49:50 AM  all   13.59    0.00    3.76   11.20    0.00    0.00    0.00    0.00    0.00   71.45
08:49:51 AM  all   15.08    0.00    4.54   10.88    0.00    0.17    0.00    0.00    0.00   69.32
08:49:52 AM  all   13.34    0.09    4.70   11.04    0.00    0.00    0.00    0.00    0.00   70.83
08:49:53 AM  all   12.94    0.00    4.31   10.87    0.00    0.00    0.00    0.00    0.00   71.87
08:49:54 AM  all   12.92    0.09    3.79   11.28    0.00    0.00    0.00    0.00    0.00   71.92
08:49:55 AM  all   12.11    0.00    4.24   11.16    0.00    0.00    0.00    0.00    0.00   72.49
08:49:56 AM  all   12.30    0.00    3.96   11.44    0.00    0.00    0.00    0.00    0.00   72.31
08:49:57 AM  all   11.64    0.00    4.05   11.47    0.00    0.00    0.00    0.00    0.00   72.84
08:49:58 AM  all   12.14    0.09    3.62   11.46    0.00    0.00    0.00    0.00    0.00   72.70
08:49:59 AM  all   11.88    0.00    3.87   11.36    0.00    0.00    0.00    0.00    0.00   72.89
08:50:00 AM  all   11.50    0.09    3.78   11.16    0.00    0.09    0.00    0.00    0.00   73.39
08:50:01 AM  all   12.45    0.09    3.80   11.32    0.00    0.00    0.00    0.00    0.00   72.34
08:50:02 AM  all   14.64    0.00    4.91   10.85    0.00    0.09    0.00    0.00    0.00   69.51
08:50:03 AM  all   13.14    0.00    3.98   11.06    0.00    0.09    0.00    0.00    0.00   71.74
08:50:04 AM  all   15.09    0.00    5.78   10.95    0.00    0.00    0.00    0.00    0.00   68.19
08:50:05 AM  all   14.68    0.00    3.97   10.71    0.00    0.00    0.00    0.00    0.00   70.64
08:50:06 AM  all   13.49    0.00    4.50   11.33    0.00    0.00    0.00    0.00    0.00   70.67
08:50:07 AM  all   13.24    0.00    4.58   10.90    0.00    0.00    0.00    0.00    0.00   71.28
08:50:08 AM  all   12.43    0.00    3.91   11.22    0.00    0.09    0.00    0.00    0.00   72.35
08:50:09 AM  all   12.21    0.00    3.90   11.43    0.00    0.00    0.00    0.00    0.00   72.47
08:50:10 AM  all   26.19    0.00    6.24   10.15    0.00    0.00    0.00    0.00    0.00   57.42
08:50:11 AM  all   17.24    0.17    8.97   10.95    0.00    0.00    0.00    0.00    0.00   62.67
08:50:12 AM  all   18.57    0.00   11.23   10.79    0.00    0.00    0.00    0.00    0.00   59.41
08:50:13 AM  all   41.57    0.09   12.22    8.18    0.00    0.00    0.00    0.00    0.00   37.95
08:50:14 AM  all   20.07    0.09    9.13   10.34    0.00    0.00    0.00    0.00    0.00   60.38
08:50:15 AM  all   19.04    0.00    8.53   10.59    0.00    0.00    0.00    0.00    0.00   61.84
08:50:16 AM  all   11.60    0.00    4.04   11.60    0.00    0.00    0.00    0.00    0.00   72.77
08:50:17 AM  all   12.08    0.00    3.54   11.56    0.00    0.00    0.00    0.00    0.00   72.82
08:50:18 AM  all   17.56    0.00    4.24   10.64    0.00    0.09    0.00    0.00    0.00   67.47
08:50:19 AM  all   14.38    0.00    3.96   11.46    0.00    0.09    0.00    0.00    0.00   70.11
08:50:20 AM  all   13.86    0.00    3.73   10.92    0.00    0.00    0.00    0.00    0.00   71.49
08:50:21 AM  all   14.84    0.00    4.17   11.20    0.00    0.00    0.00    0.00    0.00   69.79
08:50:22 AM  all   12.80    0.09    3.87   11.25    0.00    0.00    0.00    0.00    0.00   71.99
08:50:23 AM  all   12.22    0.00    3.55   11.18    0.00    0.00    0.00    0.00    0.00   73.05
08:50:24 AM  all   11.79    0.00    3.44   11.10    0.00    0.09    0.00    0.00    0.00   73.58
08:50:25 AM  all   11.87    0.09    3.35   11.44    0.00    0.00    0.00    0.00    0.00   73.26
08:50:26 AM  all   11.77    0.09    3.84   11.35    0.00    0.00    0.00    0.00    0.00   72.95
08:50:27 AM  all   12.09    0.00    3.63   11.14    0.00    0.09    0.00    0.00    0.00   73.06
08:50:28 AM  all   14.85    0.00    4.23   11.14    0.00    0.00    0.00    0.00    0.00   69.78
08:50:29 AM  all   15.46    0.00    5.87   10.97    0.00    0.00    0.00    0.00    0.00   67.70
08:50:30 AM  all   12.32    0.00    3.21   11.27    0.00    0.00    0.00    0.00    0.00   73.20
08:50:31 AM  all   12.05    0.00    3.70   11.36    0.00    0.00    0.00    0.00    0.00   72.89
08:50:32 AM  all   16.06    0.09    4.60   10.94    0.00    0.00    0.00    0.00    0.00   68.32
08:50:33 AM  all   15.19    0.00    4.25   11.02    0.00    0.00    0.00    0.00    0.00   69.53
08:50:34 AM  all   12.62    0.00    3.72   11.24    0.00    0.17    0.00    0.00    0.00   72.26
08:50:35 AM  all   15.93    0.09    3.72   10.91    0.00    0.00    0.00    0.00    0.00   69.35
08:50:36 AM  all   12.92    0.00    3.56   11.19    0.00    0.00    0.00    0.00    0.00   72.33
08:50:37 AM  all   11.88    0.00    3.70   11.36    0.00    0.00    0.00    0.00    0.00   73.06
08:50:38 AM  all   12.23    0.09    3.53   11.20    0.00    0.00    0.00    0.00    0.00   72.95
08:50:39 AM  all   11.99    0.09    3.11   11.30    0.00    0.09    0.00    0.00    0.00   73.43
08:50:40 AM  all   11.48    0.00    3.68   11.48    0.00    0.26    0.00    0.00    0.00   73.09
08:50:41 AM  all   12.49    0.00    2.93   11.37    0.00    0.00    0.00    0.00    0.00   73.21
08:50:42 AM  all   12.90    0.00    3.55   11.17    0.00    0.09    0.00    0.00    0.00   72.29
08:50:43 AM  all   13.69    0.00    4.25   10.92    0.00    0.00    0.00    0.00    0.00   71.14
08:50:44 AM  all   26.16    0.09    7.92    9.81    0.00    0.00    0.00    0.00    0.00   56.02
08:50:45 AM  all   16.59    0.09   10.80   10.80    0.00    0.00    0.00    0.00    0.00   61.71
08:50:46 AM  all   21.11    0.09    9.99   10.69    0.00    0.09    0.00    0.00    0.00   58.04
08:50:47 AM  all   22.78    0.00    9.04   10.26    0.00    0.00    0.00    0.00    0.00   57.91
08:50:48 AM  all   21.94    0.00   12.40   10.49    0.00    0.00    0.00    0.00    0.00   55.16
08:50:49 AM  all   16.42    0.00   11.50   11.50    0.00    0.09    0.00    0.00    0.00   60.50
08:50:50 AM  all   29.90    0.09   12.37    9.79    0.00    0.09    0.00    0.00    0.00   47.77
08:50:51 AM  all   25.39    0.00   12.95    9.84    0.00    0.00    0.00    0.00    0.00   51.81
08:50:52 AM  all   23.75    0.09   15.58    9.98    0.00    0.17    0.00    0.00    0.00   50.43
08:50:53 AM  all   28.01    0.00   13.66    9.71    0.00    0.09    0.00    0.00    0.00   48.54
08:50:54 AM  all   25.73    0.00    8.26   10.93    0.00    0.00    0.00    0.00    0.00   55.08
08:50:55 AM  all   20.91    0.00   15.15   10.76    0.00    0.09    0.00    0.00    0.00   53.10
08:50:56 AM  all   26.94    0.00   11.49   10.62    0.00    0.09    0.00    0.00    0.00   50.86
08:50:57 AM  all   32.47    0.00   10.82   10.30    0.00    0.00    0.00    0.00    0.00   46.41
08:50:58 AM  all   22.20    0.00   12.06   11.19    0.00    0.00    0.00    0.00    0.00   54.55
08:50:59 AM  all   20.52    0.17   12.41   10.60    0.00    0.00    0.00    0.00    0.00   56.29
08:51:00 AM  all   31.69    0.09   11.52    9.44    0.00    0.00    0.00    0.00    0.00   47.27
08:51:01 AM  all   24.57    0.00   11.21   10.78    0.00    0.00    0.00    0.00    0.00   53.45
08:51:02 AM  all   20.80    0.09   17.57   10.49    0.00    0.00    0.00    0.00    0.00   51.05
08:51:03 AM  all   25.43    0.00   11.56   10.36    0.00    0.00    0.00    0.00    0.00   52.65
08:51:04 AM  all   27.28    0.00    8.25   10.43    0.00    0.00    0.00    0.00    0.00   54.04
08:51:05 AM  all   22.12    0.09   14.63   10.76    0.00    0.09    0.00    0.00    0.00   52.32
08:51:06 AM  all   17.68    0.00   10.30   10.99    0.00    0.00    0.00    0.00    0.00   61.03
08:51:07 AM  all   21.94    0.00    8.18   10.93    0.00    0.00    0.00    0.00    0.00   58.95
08:51:08 AM  all   15.86    0.00    9.57   11.29    0.00    0.17    0.00    0.00    0.00   63.10
08:51:09 AM  all   15.12    0.00    4.38   11.51    0.00    0.00    0.00    0.00    0.00   68.99
08:51:10 AM  all   11.74    0.09    3.80   11.14    0.00    0.00    0.00    0.00    0.00   73.23
08:51:11 AM  all   14.04    0.00    3.75   11.51    0.00    0.00    0.00    0.00    0.00   70.71
08:51:12 AM  all   12.62    0.00    3.98   11.06    0.00    0.00    0.00    0.00    0.00   72.34
08:51:13 AM  all   15.75    0.00    4.56   10.93    0.00    0.00    0.00    0.00    0.00   68.76
08:51:14 AM  all   15.06    0.09    3.72   11.08    0.00    0.00    0.00    0.00    0.00   70.04
08:51:15 AM  all   14.09    0.00    3.98   11.32    0.00    0.09    0.00    0.00    0.00   70.53
08:51:16 AM  all   14.26    0.09    4.06   10.98    0.00    0.00    0.00    0.00    0.00   70.61
08:51:17 AM  all   15.22    0.00    4.73   10.75    0.00    0.00    0.00    0.00    0.00   69.30
08:51:18 AM  all   15.58    0.43    5.51   10.76    0.00    0.17    0.00    0.00    0.00   67.56
08:51:19 AM  all   14.87    0.00    5.27   11.06    0.00    0.00    0.00    0.00    0.00   68.80
