Linux 6.8.0-49-generic (samoy-pc) 	 	_x86_64_	(12 CPU)

08:59:11 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:00:12 AM  all    7.07    0.00    3.83   11.07    0.00    0.00    0.00    0.00    0.00   78.02
09:00:13 AM  all   17.19    0.00    4.00   11.06    0.00    0.00    0.00    0.00    0.00   67.74
09:00:14 AM  all    8.33    0.00    3.57   11.48    0.00    0.00    0.00    0.00    0.00   76.62
09:00:15 AM  all    6.66    0.00    2.82   11.43    0.00    0.17    0.00    0.00    0.00   78.92
09:00:16 AM  all    8.38    0.00    3.93   11.88    0.00    0.00    0.00    0.00    0.00   75.81
09:00:17 AM  all    7.50    0.00    3.92   11.07    0.00    0.09    0.00    0.00    0.00   77.43
09:00:18 AM  all    9.63    0.00    4.00   12.18    0.00    0.00    0.00    0.00    0.00   74.19
09:00:19 AM  all    7.78    0.00    4.14   10.57    0.00    0.08    0.00    0.00    0.00   77.43
09:00:20 AM  all   12.26    0.00    3.63   12.00    0.00    0.00    0.00    0.00    0.00   72.10
09:00:21 AM  all    7.95    0.00    3.85   11.03    0.00    0.00    0.00    0.00    0.00   77.18
09:00:22 AM  all    8.69    0.00    3.88   10.04    0.00    0.00    0.00    0.00    0.00   77.38
09:00:23 AM  all   13.25    0.00    4.19   11.11    0.00    0.00    0.00    0.00    0.00   71.45
09:00:24 AM  all    9.28    0.00    3.92   11.50    0.00    0.00    0.00    0.00    0.00   75.30
09:00:25 AM  all    8.16    0.00    3.31   10.62    0.00    0.00    0.00    0.00    0.00   77.91
09:00:26 AM  all    9.90    0.00    4.10   11.35    0.00    0.00    0.00    0.00    0.00   74.66
09:00:27 AM  all    7.12    0.00    4.24   11.37    0.00    0.08    0.00    0.00    0.00   77.18
09:00:28 AM  all   13.31    0.00    3.41   11.52    0.00    0.00    0.00    0.00    0.00   71.76
09:00:29 AM  all    9.35    0.00    4.17   11.22    0.00    0.09    0.00    0.00    0.00   75.17
09:00:30 AM  all   10.41    0.00    3.50   12.80    0.00    0.00    0.00    0.00    0.00   73.29
09:00:31 AM  all    8.84    0.00    3.99   11.21    0.00    0.00    0.00    0.00    0.00   75.96
09:00:32 AM  all    7.42    0.00    3.32   11.94    0.00    0.00    0.00    0.00    0.00   77.32
09:00:33 AM  all    7.76    0.00    3.84   10.91    0.00    0.00    0.00    0.00    0.00   77.49
09:00:34 AM  all   14.97    0.00    4.51   10.29    0.00    0.09    0.00    0.00    0.00   70.15
09:00:35 AM  all    5.68    0.00    3.39   11.44    0.00    0.08    0.00    0.00    0.00   79.41
09:00:36 AM  all    7.99    0.00    3.78   11.25    0.00    0.17    0.00    0.00    0.00   76.80
09:00:37 AM  all   10.41    0.00    5.89   10.92    0.00    0.00    0.00    0.00    0.00   72.78
09:00:38 AM  all    4.60    0.00    2.98   10.57    0.00    0.00    0.00    0.00    0.00   81.84
09:00:39 AM  all    5.73    0.00    2.91   11.71    0.00    0.00    0.00    0.00    0.00   79.66
09:00:40 AM  all    9.40    0.00    4.19   12.05    0.00    0.09    0.00    0.00    0.00   74.27
09:00:41 AM  all    6.39    0.00    2.90   11.58    0.00    0.09    0.00    0.00    0.00   79.05
09:00:42 AM  all    6.01    0.00    3.30   12.19    0.00    0.00    0.00    0.00    0.00   78.49
09:00:43 AM  all    5.45    0.00    2.98   11.66    0.00    0.00    0.00    0.00    0.00   79.91
09:00:44 AM  all    6.37    0.00    3.14   11.46    0.00    0.08    0.00    0.00    0.00   78.95
09:00:45 AM  all    6.59    0.00    3.47   12.09    0.00    0.00    0.00    0.00    0.00   77.85
09:00:46 AM  all    6.22    0.00    3.75   12.01    0.00    0.00    0.00    0.00    0.00   78.02
09:00:47 AM  all    5.89    0.00    2.82   11.18    0.00    0.00    0.00    0.00    0.00   80.12
09:00:48 AM  all    5.80    0.00    3.41   11.51    0.00    0.00    0.00    0.00    0.00   79.28
09:00:49 AM  all    5.77    0.00    3.22   11.11    0.00    0.00    0.00    0.00    0.00   79.90
09:00:50 AM  all    7.74    0.00    3.83   12.43    0.00    0.00    0.00    0.00    0.00   76.00
09:00:51 AM  all    7.42    0.00    3.75   11.52    0.00    0.17    0.00    0.00    0.00   77.13
09:00:52 AM  all    7.90    0.00    4.33   11.55    0.00    0.08    0.00    0.00    0.00   76.13
09:00:53 AM  all   14.58    0.00    6.48   10.74    0.00    0.00    0.00    0.00    0.00   68.20
09:00:54 AM  all   14.53    0.00    4.87   10.85    0.00    0.09    0.00    0.00    0.00   69.66
09:00:55 AM  all    9.84    0.00    3.90   11.03    0.00    0.00    0.00    0.00    0.00   75.23
09:00:56 AM  all    9.44    0.00    4.68   11.56    0.00    0.00    0.00    0.00    0.00   74.32
09:00:57 AM  all    5.05    0.00    2.70   12.64    0.00    0.00    0.00    0.00    0.00   79.61
09:00:58 AM  all   10.45    0.00    3.68   11.40    0.00    0.09    0.00    0.00    0.00   74.38
09:00:59 AM  all    9.21    0.00    4.69   12.19    0.00    0.09    0.00    0.00    0.00   73.83
09:01:00 AM  all   11.44    0.00    5.21   11.70    0.00    0.00    0.00    0.00    0.00   71.65
09:01:01 AM  all    8.93    0.00    3.83   11.65    0.00    0.00    0.00    0.00    0.00   75.60
09:01:02 AM  all    9.10    0.00    4.08   11.73    0.00    0.00    0.00    0.00    0.00   75.09
09:01:03 AM  all   11.74    0.00    5.28   11.23    0.00    0.09    0.00    0.00    0.00   71.66
09:01:04 AM  all   13.22    0.00    3.73   11.86    0.00    0.00    0.00    0.00    0.00   71.19
09:01:05 AM  all    9.63    0.00    5.37   10.73    0.00    0.09    0.00    0.00    0.00   74.19
09:01:06 AM  all    6.40    0.00    2.65   11.95    0.00    0.00    0.00    0.00    0.00   79.01
09:01:07 AM  all    5.44    0.00    2.72   11.13    0.00    0.00    0.00    0.00    0.00   80.71
09:01:08 AM  all    6.06    0.00    3.16   11.96    0.00    0.09    0.00    0.00    0.00   78.74
09:01:09 AM  all    4.51    0.00    2.21   10.88    0.00    0.00    0.00    0.00    0.00   82.40
09:01:10 AM  all    4.86    0.00    2.81   10.49    0.00    0.00    0.00    0.00    0.00   81.84
09:01:11 AM  all    5.33    0.00    2.88   11.42    0.00    0.00    0.00    0.00    0.00   80.37
09:01:12 AM  all    5.66    0.00    3.17   11.83    0.00    0.09    0.00    0.00    0.00   79.26
09:01:13 AM  all    7.72    0.00    3.57   12.65    0.00    0.00    0.00    0.00    0.00   76.06
09:01:14 AM  all    8.40    0.00    3.82   12.81    0.00    0.08    0.00    0.00    0.00   74.89
09:01:15 AM  all    7.71    0.00    3.94   12.67    0.00    0.00    0.00    0.00    0.00   75.68
09:01:16 AM  all    6.86    0.00    3.26   13.21    0.00    0.00    0.00    0.00    0.00   76.67
09:01:17 AM  all    8.85    0.00    4.34   10.21    0.00    0.00    0.00    0.00    0.00   76.60
09:01:18 AM  all    6.39    0.00    3.84   10.57    0.00    0.00    0.00    0.00    0.00   79.20
09:01:19 AM  all   10.67    0.00    4.53   11.78    0.00    0.09    0.00    0.00    0.00   72.93
09:01:20 AM  all   15.22    0.00    4.47   10.75    0.00    0.00    0.00    0.00    0.00   69.56
09:01:21 AM  all   10.30    0.00    3.46   12.50    0.00    0.08    0.00    0.00    0.00   73.65
09:01:22 AM  all    8.13    0.00    3.51   11.72    0.00    0.00    0.00    0.00    0.00   76.65
09:01:23 AM  all    6.48    0.00    3.41   11.60    0.00    0.00    0.00    0.00    0.00   78.50
09:01:24 AM  all    7.19    0.00    3.72   10.41    0.00    0.17    0.00    0.00    0.00   78.51
09:01:25 AM  all   12.52    0.00    4.20   10.46    0.00    0.00    0.00    0.00    0.00   72.81
09:01:26 AM  all    8.71    0.00    3.81   11.08    0.00    0.08    0.00    0.00    0.00   76.31
09:01:27 AM  all    6.28    0.00    3.22   10.69    0.00    0.00    0.00    0.00    0.00   79.81
09:01:28 AM  all    8.42    0.00    3.18   12.63    0.00    0.00    0.00    0.00    0.00   75.77
09:01:29 AM  all    6.39    0.00    3.24   12.02    0.00    0.00    0.00    0.00    0.00   78.35
09:01:30 AM  all    9.59    0.00    3.34   11.30    0.00    0.00    0.00    0.00    0.00   75.77
09:01:31 AM  all    9.83    0.00    4.32   10.08    0.00    0.08    0.00    0.00    0.00   75.68
09:01:32 AM  all    7.01    0.00    3.59   11.46    0.00    0.00    0.00    0.00    0.00   77.93
09:01:33 AM  all   10.17    0.00    3.33   10.77    0.00    0.00    0.00    0.00    0.00   75.73
09:01:34 AM  all    9.91    0.00    4.66   11.52    0.00    0.17    0.00    0.00    0.00   73.75
09:01:35 AM  all    6.75    0.00    3.08   11.62    0.00    0.00    0.00    0.00    0.00   78.55
09:01:36 AM  all    7.06    0.00    3.32   11.74    0.00    0.00    0.00    0.00    0.00   77.87
09:01:37 AM  all    6.07    0.00    3.08   12.05    0.00    0.00    0.00    0.00    0.00   78.80
09:01:38 AM  all    5.94    0.00    3.23   12.05    0.00    0.00    0.00    0.00    0.00   78.78
09:01:39 AM  all    6.58    0.00    3.07   11.27    0.00    0.00    0.00    0.00    0.00   79.08
09:01:40 AM  all    6.96    0.00    3.40   12.39    0.00    0.00    0.00    0.00    0.00   77.25
09:01:41 AM  all    5.63    0.00    2.56   10.91    0.00    0.00    0.00    0.00    0.00   80.90
09:01:42 AM  all    6.71    0.00    3.40   12.06    0.00    0.00    0.00    0.00    0.00   77.82
09:01:43 AM  all    7.41    0.00    3.92   10.73    0.00    0.09    0.00    0.00    0.00   77.85
09:01:44 AM  all    7.69    0.00    4.36    9.91    0.00    0.00    0.00    0.00    0.00   78.05
09:01:45 AM  all    7.09    0.00    3.42   10.85    0.00    0.00    0.00    0.00    0.00   78.65
09:01:46 AM  all    7.33    0.00    3.32   10.99    0.00    0.00    0.00    0.00    0.00   78.36
09:01:47 AM  all   10.29    0.00    4.68   10.88    0.00    0.00    0.00    0.00    0.00   74.15
09:01:48 AM  all    7.48    0.00    3.74   11.72    0.00    0.08    0.00    0.00    0.00   76.98
09:01:49 AM  all    8.53    0.00    3.75   12.36    0.00    0.00    0.00    0.00    0.00   75.36
09:01:50 AM  all   12.42    0.00    3.46   10.47    0.00    0.17    0.00    0.00    0.00   73.48
09:01:51 AM  all    9.00    0.00    4.03   10.28    0.00    0.00    0.00    0.00    0.00   76.69
09:01:52 AM  all    9.48    0.00    3.98   11.42    0.00    0.00    0.00    0.00    0.00   75.13
09:01:53 AM  all    9.37    0.00    3.83   12.44    0.00    0.00    0.00    0.00    0.00   74.36
09:01:54 AM  all   11.16    0.00    3.35   12.19    0.00    0.09    0.00    0.00    0.00   73.22
09:01:55 AM  all   15.45    0.00    3.57    9.85    0.00    0.08    0.00    0.00    0.00   71.05
09:01:56 AM  all   26.20    0.00    4.37   10.53    0.00    0.17    0.00    0.00    0.00   58.73
09:01:57 AM  all   10.03    0.00    2.80   10.62    0.00    0.00    0.00    0.00    0.00   76.55
09:01:58 AM  all   20.12    0.00    4.29   11.20    0.00    0.00    0.00    0.00    0.00   64.39
09:01:59 AM  all    9.24    0.00    4.02   11.12    0.00    0.00    0.00    0.00    0.00   75.62
09:02:00 AM  all    9.05    0.00    5.16    9.81    0.00    0.00    0.00    0.00    0.00   75.97
09:02:01 AM  all    8.59    0.00    4.63   11.62    0.00    0.08    0.00    0.00    0.00   75.08
09:02:02 AM  all   11.60    0.00    4.44   11.60    0.00    0.09    0.00    0.00    0.00   72.27
09:02:03 AM  all    9.18    0.00    3.86   11.58    0.00    0.00    0.00    0.00    0.00   75.39
09:02:04 AM  all   11.74    0.00    5.19   11.32    0.00    0.00    0.00    0.00    0.00   71.74
09:02:05 AM  all   10.37    0.00    4.08   11.05    0.00    0.00    0.00    0.00    0.00   74.51
09:02:06 AM  all    6.81    0.00    2.72   11.40    0.00    0.00    0.00    0.00    0.00   79.06
09:02:07 AM  all    9.11    0.00    3.23   12.00    0.00    0.09    0.00    0.00    0.00   75.57
09:02:08 AM  all    6.91    0.00    2.90   12.19    0.00    0.00    0.00    0.00    0.00   78.01
09:02:09 AM  all    8.26    0.00    3.66   12.69    0.00    0.00    0.00    0.00    0.00   75.38
09:02:10 AM  all    5.79    0.00    3.32   12.27    0.00    0.00    0.00    0.00    0.00   78.62
09:02:11 AM  all    8.24    0.00    3.35   10.47    0.00    0.00    0.00    0.00    0.00   77.94
09:02:12 AM  all    6.87    0.00    3.31   12.21    0.00    0.00    0.00    0.00    0.00   77.61
09:02:13 AM  all    6.88    0.00    3.31   11.89    0.00    0.08    0.00    0.00    0.00   77.82
09:02:14 AM  all    6.58    0.00    3.59   12.13    0.00    0.00    0.00    0.00    0.00   77.71
09:02:15 AM  all    7.99    0.00    4.00   11.31    0.00    0.17    0.00    0.00    0.00   76.53
09:02:16 AM  all    9.90    0.00    3.67   11.86    0.00    0.17    0.00    0.00    0.00   74.40
09:02:17 AM  all    6.52    0.00    3.09   11.24    0.00    0.00    0.00    0.00    0.00   79.14
09:02:18 AM  all    9.63    0.00    4.30   11.18    0.00    0.00    0.00    0.00    0.00   74.89
09:02:19 AM  all    6.81    0.00    3.07   11.33    0.00    0.09    0.00    0.00    0.00   78.71
09:02:20 AM  all    8.77    0.00    3.75   10.90    0.00    0.00    0.00    0.00    0.00   76.58
